x1,y1,x2,y2
28.039807,24.755736,28.039807,26.905736
27.739807,27.205736,27.739807,24.855736
28.039807,26.905736,30.489807,26.905736
30.789807,26.905736,33.589807,26.905736
33.889807,27.205736,28.039807,27.205736
33.589807,26.905736,33.589807,24.755736
33.889807,24.855736,33.889807,26.905736
33.589807,24.755736,32.983807,24.755736
31.503807,24.755736,30.789807,24.755736
30.489807,24.755736,29.836807,24.755736
28.556807,24.755736,28.039807,24.755736
28.039807,24.555736,28.556807,24.555736
29.836807,24.555736,31.503807,24.555736
32.983807,24.555736,33.589807,24.555736
30.489807,26.905736,30.489807,24.755736
30.789807,24.755736,30.789807,26.905736
24.689807,24.855736,24.689807,28.155736
24.389807,28.455736,24.389807,24.555736
24.689807,28.155736,27.739807,28.155736
28.339807,28.455736,24.689807,28.455736
28.039807,27.205736,28.039807,28.155736
27.739807,28.155736,27.739807,27.205736
33.889807,24.555736,34.489807,24.555736
35.589807,24.555736,38.409807,24.555736
39.509807,24.555736,40.089807,24.555736
38.409807,24.855736,36.739807,24.855736
36.439807,24.855736,35.589807,24.855736
34.489807,24.855736,33.889807,24.855736
27.739807,24.855736,26.069807,24.855736
26.069807,24.555736,27.739807,24.555736
36.739807,27.205736,36.739807,28.155734
36.439807,28.155734,36.439807,27.205736
36.739807,24.855736,36.739807,27.205736
36.439807,26.905736,36.439807,24.855736
36.439807,27.205736,33.889807,27.205736
33.889807,26.905736,36.439807,26.905736
40.089807,24.855736,40.089807,28.455734
39.789807,28.155734,39.789807,24.855736
36.739807,28.155734,39.789807,28.155734
39.789807,28.455734,36.139807,28.455734
45.564807,28.030736,45.564807,28.580736
45.564807,28.580736,45.014807,28.580736
45.014807,28.580736,45.014807,28.030736
19.464807,28.030736,19.464807,28.580736
19.464807,28.580736,18.914807,28.580736
18.914807,28.580736,18.914807,28.030736
19.464807,21.085736,19.464807,21.635736
19.464807,21.635736,18.914807,21.635736
18.914807,21.635736,18.914807,21.085736
45.564807,21.085736,45.564807,21.635736
45.564807,21.635736,45.014807,21.635736
45.014807,21.635736,45.014807,21.085736
45.564807,12.385736,45.564807,12.935736
45.564807,12.935736,45.014807,12.935736
45.014807,12.935736,45.014807,12.385736
